Year,,Make,Model,Serial #,(Unit No),Inventory Desc,Department
2021,KEEP,,Reho Soft RTS,D-03573,D-03573,HME Demo - Bathroom Equipment,Surrey
2021,KEEP,Personal Aide,"Woode Bath Board 30""Wx4""H",D-03574,D-03574,HME Demo - Bathroom Equipment,Surrey
2021,KEEP,Blake,"Blake Toilet Seat 18""",D-03575,D-03575,HME Demo - Bathroom Equipment,Surrey
2021,KEEP,Eagle Health,Eagle Health Tub Mounted Transfer Bench,D-03577,D-03577,HME Demo - Bathroom Equipment,Surrey
2023,KEEP,Dynamic,"Raz-AT 18""W Base and Seat Frame - Commode Chair",RAT-122546,D-03897,HME Demo - Bathroom Equipment,Surrey
2021,KEEP,Performance Health,Bed Cradle,D-03579,D-03579,HME Demo - Bedroom Equipment,Surrey
2021,KEEP,Action Products,"Action Gel Bed Pad 35""x80""",D-03572,D-03572,HME Demo - Bedroom Equipment,Surrey
2022,KEEP,Blake Medica,"Geo Matrix Hybrid Deep LP,cushion,16x18",D-03667,D-03667,HME Demo - Cushions,Surrey
2023,KEEP,Dynamic,NXT BIOFIT CUSHION 17x17,N52228,D-03898,HME Demo - Cushions,Surrey
2023,KEEP,Dynamic,NXT BIOFIT CUSHION 17x17,N52244,D-03899,HME Demo - Cushions,Surrey
2022,KEEP,Roho,Roho Hybrid Elite Cushion - 18x18,D-03701,D-03701,HME Demo - Cushions,Surrey
2023,KEEP,Ride Designs,JC-1818,8118207,D-03998,HME Demo - Cushions,Surrey
2023,KEEP,Ride Designs,JC-1816,8118208,D-03999,HME Demo - Cushions,Surrey
2023,KEEP,Ride Designs,SFCD -16x16 - Forward Cushion,8104786,D-03886,HME Demo - Cushions,Surrey
2023,KEEP,Ride Design,SJC - 16x16 - Java Cushion,8104780,D-03887,HME Demo - Cushions,Surrey
2023,KEEP,Ride Design,SFCD - 16x18 - Forward Cushion,8104782,D-03888,HME Demo - Cushions,Surrey
2023,KEEP,Ride Design,SJC - 16x18 - Java Cushion,8104770,D-03889,HME Demo - Cushions,Surrey
2023,KEEP,Ride Design,SFCD - 18x18 - Forward Cushion,8104775,D-03890,HME Demo - Cushions,Surrey
2023,KEEP,Ride Design,SJC - 18x18 - Java Cushion,8104774,D-03891,HME Demo - Cushions,Surrey
2023,KEEP,Ride Design,SFCD - 18x16 - Forward Cushion,8104779,D-03892,HME Demo - Cushions,Surrey
2023,KEEP,Ride Design,SJC - 18x16 - Java Cushion,8104781,D-03893,HME Demo - Cushions,Surrey
2023,KEEP,Ride Design,SFCD - 20x18 - Forward Cushion,8104771,D-03894,HME Demo - Cushions,Surrey
2023,KEEP,Ride Design,SJC - 20x18 - Java Cushion,8099245,D-03895,HME Demo - Cushions,Surrey
2023,KEEP,Physipro INC.,"Contour Insert Cushion,16x16",D-03914,D-03914,HME Demo - Cushions,Surrey
2023,KEEP,Physipro INC.,"Contour Insert Cushion,18x18",D-03915,D-03915,HME Demo - Cushions,Surrey
2023,KEEP,Physipro INC.,"Contour Insert Cushion,20x18",D-03916,D-03916,HME Demo - Cushions,Surrey
2023,KEEP,LBAC Solutions,OWL CUSHION DEEP CONTOUR - 16x16,GCI03104,D03925,HME Demo - Cushions,Surrey
2023,KEEP,LBAC Solutions,OWL Cushion Deep Contour - 18x18,GCI03127,D-03926,HME Demo - Cushions,Surrey
2023,KEEP,Sunrise,Jay  X2 Cushion - 14x14,231520JX21414,D-03946,HME Demo - Cushions,Surrey
2023,KEEP,SPEX,Spex High Contour Cushion 12x12,1101273,D-03954,HME Demo - Cushions,Surrey
2023,KEEP,Physipro,Bumble Cushions - 12x12,D-03985,D-03985,HME Demo - Cushions,Surrey
2023,KEEP,Physipro,Bumble Bee Cusions - 12x14,D-03986,D-03986,HME Demo - Cushions,Surrey
2023,KEEP,Physipro,Bumble Bee Cushions - 14x14,D-03988,D-03988,HME Demo - Cushions,Surrey
2023,KEEP,Permobil,Roho HP 20 x 18,A4693486,D-03996,HME Demo - Cushions,Surrey
2022,KEEP,Prius,Low Air Loss Mattress,C890010922,D-03590,HME Demo - Low Air Loss Mattresses,Surrey
2023,KEEP,Motion Composites,HELIO C2 17x17 Sunkissed Orange,154508,D-03904,HME Demo - Manual Wheelchairs,Surrey
2023,KEEP,Motion Composites,Apex Carbon Sunkissed Orange - 17x17,155547,D-03908,HME Demo - Manual Wheelchairs,Surrey
2022,KEEP,Evolution,DX4 Wheel Rollator,ER153815,D-03621,HME Demo - Miscellaneous,Surrey
2022,KEEP,Motion Concepts,Accessory kit,D-03642,D-03642,HME Demo - Miscellaneous,Surrey
2022,KEEP,HME DEMO,MISC,D-03843,D-03843,HME Demo - Miscellaneous,Surrey
2023,KEEP,EVERGREEN,"ELEVATE , Heel Protection",D-03924,D-03924,HME Demo - Miscellaneous,Surrey
2023,KEEP,Sunrise,JLATSA44L,D-03952,D-03952,HME Demo - Miscellaneous,Surrey
2023,KEEP,Sunrise,JLATSA44R,D-03953,D-03953,HME Demo - Miscellaneous,Surrey
2023,KEEP,Modular Access System,ThruFlow decking 36x12 - Ergo Beige,539,D-03966,HME Demo - Miscellaneous,Surrey
2023,KEEP,Modular Access System,ThruFlow decking 36x12 - Ergo Beige,539-1,D-03969,HME Demo - Miscellaneous,Surrey
2023,KEEP,Modular Access System,ThruFlow decking 36x12 - Ergo Beige,539-2,D-03970,HME Demo - Miscellaneous,Surrey
2023,KEEP,Modular Access System,ThruFlow decking 36x12 - Ergo Beige,539-3,D-03971,HME Demo - Miscellaneous,Surrey
2023,KEEP,Modular Access System,ThruFlow decking 36x12 - Ergo Beige,539-4,D-03972,HME Demo - Miscellaneous,Surrey
2023,KEEP,Modular Access System,ThruFlow decking 36x12 - Ergo Beige,539-5,D-03973,HME Demo - Miscellaneous,Surrey
2022,KEEP,Permobil,R851 Medium Activity Chair,R85020220310AA,D-03616,HME Demo - Pediatric Equipment,Surrey
2021,KEEP,Ki Mobility,Clik,CLK006879,HME-02159,HME Demo - Pediatric Equipment,Surrey
2021,KEEP,Ki Mobility,Flip,FLP006537,HME-02160,HME Demo - Pediatric Equipment,Surrey
2021,KEEP,Convaid,EZ Rider 18,EZ18T-02217,d-04008,HME Demo - Pediatric Equipment,Surrey
2022,KEEP,Sunrise,Quickie QX,QX-034850,D-03864,HME Demo - Pediatric Equipment,Surrey
2022,KEEP, Drive,Wrap-Around Toilet HI-Back,2019095VE060022,D-03584,HME Demo - Pediatric Equipment,Surrey
2022,KEEP,Physipro,Resolve Physipro 12x12,D-03645,D-03645,HME Demo - Pediatric Equipment,Surrey
1900,KEEP,Permbol,Rifton Pacer Mini,HME-00404,HME-00404,HME Demo - Pediatric Equipment,Surrey
1900,KEEP,Leckey,Squiggles Plus,LEC/224187,HME-01091,HME Demo - Pediatric Equipment,Surrey
2022,KEEP,Rifton,Rifton pacer - Small,K62020190607AC,D-03614,HME Demo - Pediatric Equipment,Surrey
2022,KEEP,Lighthouse,KLIP 4-Wheel Posterior Gati trainer With Seat - me,530202107030,D-03615,HME Demo - Pediatric Equipment,Surrey
2022,KEEP,Sunrise,ZIPPIE X'CAPE WHEEL CHAIR,FZ1-011758,D-03628,HME Demo - Pediatric Equipment,Surrey
2022,KEEP,Synetik,VERTIFLEX A2,200083502,D-03618,HME Demo - Pediatric Equipment,Surrey
2022,KEEP,Adaptive Star,Axiom adaptive Star Stroller,D-03619,D-03619,HME Demo - Pediatric Equipment,Surrey
2022,KEEP,Permobil,Kidwalk - Green ( Small ),55740,D-03632,HME Demo - Pediatric Equipment,Surrey
2022,KEEP,Permobil,Kidwalk II - Candy Blue - Large,55742,D-03634,HME Demo - Pediatric Equipment,Surrey
2022,KEEP,Solu Medical,SM1070 - Two Cylinders attachable by zipper body s,SM1070,D-03639,HME Demo - Pediatric Equipment,Surrey
2022,KEEP,R82 Inc,Crocodile Gait trainer size 3,5100310,D-03649,HME Demo - Pediatric Equipment,Surrey
2022,KEEP,R82,Crocodile Gait Trainer Size 3,5099155,D-03650,HME Demo - Pediatric Equipment,Surrey
2022,KEEP,Lekey,SleepForm,D-03682,D-03682,HME Demo - Pediatric Equipment,Surrey
2022,KEEP,Physipro,Bed positioning,D-03699,D-03699,HME Demo - Pediatric Equipment,Surrey
2022,KEEP,Sunrise,Zippie Voyage VIP,ZV18-004248,D-03709,HME Demo - Pediatric Equipment,Surrey
2022,KEEP,Special Tomato,Special Tomato Soft Sitter - Size 1,D-03713,D-03713,HME Demo - Pediatric Equipment,Surrey
2022,KEEP,Permobil,Rifton wave tub stand,Z21720220804AA,D-03715,HME Demo - Pediatric Equipment,Surrey
2022,KEEP,R82 INC.,Meerkat - Size 1,475430,D-03722,HME Demo - Pediatric Equipment,Surrey
2022,KEEP,Sunrise,Mygo Stander Package Size1 - Blue,LEC-320745,D-03879,HME Demo - Pediatric Equipment,Surrey
1900,KEEP,,,D-03586,D-03586,HME Demo - Pediatric Equipment,Surrey
2022,KEEP,Ki Mobility,Hip-Flex Seat Cushion - AQAUA,ST-72060304,D-03845,HME Demo - Pediatric Equipment,Surrey
2022,KEEP,Physipro,Bumblebee Cushion - 12x12,D-03850,D-03850,HME Demo - Pediatric Equipment,Surrey
2022,KEEP,Physipro,Bumblebee Cushion - 12x12,D-03852,D-03852,HME Demo - Pediatric Equipment,Surrey
2022,KEEP,Physipro,Bumblebee Cushion - 12x12,D-03853,D-03853,HME Demo - Pediatric Equipment,Surrey
2022,KEEP,Physipro,Bumblebee Cushion - 12x14,D-03856,D-03856,HME Demo - Pediatric Equipment,Surrey
2022,KEEP,Convaid,TR14 Trekker Base Standard,2600017604001,D-03860,HME Demo - Pediatric Equipment,Surrey
2022,KEEP,Blake,Zentury Foam Cushion - 14 x 1 4,D-03861,D-03861,HME Demo - Pediatric Equipment,Surrey
2022,KEEP,Drive,BCWL-7310M - Wrap Around Bath Cupport Lo-Back - Me,2022105VC460338,D-03869,HME Demo - Pediatric Equipment,Surrey
2023,KEEP,R82 INC,Crocodile gait trainer size0 - White,5103556,D-03905,HME Demo - Pediatric Equipment,Surrey
2023,KEEP,R82,Crocodile Base - Size 0,5103703,D-03917,HME Demo - Pediatric Equipment,Surrey
2023,KEEP,Inspired,CSS-2400M-RR-Car Seat - Neon Green,2023025VB290176,D-03918,HME Demo - Pediatric Equipment,Surrey
2023,KEEP,R82,Crocodile Base Size 1 - Yellow,5113033,D-03951,HME Demo - Pediatric Equipment,Surrey
2023,KEEP,Sunrise,Zippie Sphynx,ZS22-013686,D-03958,HME Demo - Pediatric Equipment,Surrey
2023,KEEP,HOGGI,Bingo Evolution,202297553,D-04043,HME Demo - Pediatric Equipment,Surrey
2023,KEEP,Motion Concepts,AVIVA STORM RX-20,23GE000202,D-04051,HME Demo - Pediatric Equipment,Surrey
2023,KEEP,Motion Concepts,ROVI A3 Power Chair,1WN30D41A0093,D-04052,HME Demo - Pediatric Equipment,Surrey
2023,KEEP,Invacare,PS-MINI1414 - Matrx PS Cushion,D-04053,D-04053,HME Demo - Pediatric Equipment,Surrey
2023,KEEP,Invacare,MINI1410 - Matrx Mini Backrest,D-04054,D-04054,HME Demo - Pediatric Equipment,Surrey
2023,KEEP,Invacare,"HME DEMO - eFix E35 24"" , 6AH",E35225077,D-04059,HME Demo - Pediatric Equipment,Surrey
2023,KEEP,Drive,TZ-A4960S - Padded Reducer Ring - Small,D-44061,D-44061,HME Demo - Pediatric Equipment,Surrey
2023,KEEP,Motion Concepts,TDX-SP2 Base Power Chair,23HE000495,D-04062,HME Demo - Pediatric Equipment,Surrey
2022,KEEP,Pride mobility,Q6 Edge power Wheelchair,JB601116031CN0,D-03726,HME Demo - Power Wheelchairs,Surrey
2023,KEEP,Sunrise Medical,"Q300 M SPC Zippie Powerchair,14x14,Candy Red",Q3MZ-500019,D-03913,HME Demo - Power Wheelchairs,Surrey
2021,KEEP,Broda,"Broda Tilt wheelchair,16x18",172619500RW1603247,D-04014,HME Demo - Tilt Wheelchairs,Surrey
2023,KEEP,PDG,Stellar GLT Manual Tilt Wheelchair,125446,D-03965,HME Demo - Tilt Wheelchairs,Surrey
